第8屆區域立法委員選舉新北市第7選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
江惠貞
中國國民黨","2
羅致政
民主進步黨","3
曾文振
無黨籍及未經政黨推薦",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"73,686","71,207","21,411","166,304","3,007","169,311",7,"169,318","48,957","218,275",77.57
　　,大豐里,"1,223",483,529,209,"1,221",21,"1,242",0,"1,242",359,"1,601",77.58
　　,大豐里,"1,224",447,383,138,968,13,981,0,981,228,"1,209",81.14
　　,大豐里,"1,225",409,350,126,885,17,902,0,902,278,"1,180",76.44
　　,重慶里,"1,226",495,528,97,"1,120",21,"1,141",0,"1,141",375,"1,516",75.26
　　,重慶里,"1,227",488,464,101,"1,053",23,"1,076",0,"1,076",362,"1,438",74.83
　　,重慶里,"1,228",521,402,153,"1,076",20,"1,096",0,"1,096",351,"1,447",75.74
　　,重慶里,"1,229",499,398,91,988,13,"1,001",0,"1,001",261,"1,262",79.32
　　,重慶里,"1,230",574,412,129,"1,115",24,"1,139",0,"1,139",363,"1,502",75.83
　　,仁愛里,"1,231",382,147,150,679,22,701,0,701,157,858,81.70
　　,仁愛里,"1,232",338,243,113,694,11,705,0,705,213,918,76.80
　　,仁愛里,"1,233",302,263,143,708,14,722,0,722,211,933,77.38
　　,和平里,"1,234",486,382,168,"1,036",13,"1,049",0,"1,049",300,"1,349",77.76
　　,和平里,"1,235",622,373,70,"1,065",26,"1,091",0,"1,091",258,"1,349",80.87
　　,廣福里,"1,236",597,709,98,"1,404",20,"1,424",0,"1,424",467,"1,891",75.30
　　,廣福里,"1,237",531,457,92,"1,080",20,"1,100",0,"1,100",441,"1,541",71.38
　　,五權里,"1,238",469,405,97,971,21,992,1,993,271,"1,264",78.48
　　,五權里,"1,239",372,418,106,896,20,916,0,916,254,"1,170",78.29
　　,五權里,"1,240",393,384,90,867,19,886,0,886,241,"1,127",78.62
　　,華興里,"1,241",553,521,170,"1,244",23,"1,267",0,"1,267",342,"1,609",78.74
　　,華興里,"1,242",650,503,189,"1,342",27,"1,369",0,"1,369",408,"1,777",77.04
　　,華貴里,"1,243",299,297,231,827,29,856,0,856,250,"1,106",77.40
　　,華貴里,"1,244",329,383,228,940,16,956,0,956,262,"1,218",78.49
　　,華福里,"1,245",432,338,51,821,9,830,0,830,211,"1,041",79.73
　　,華福里,"1,246",305,258,50,613,9,622,0,622,174,796,78.14
　　,華德里,"1,247",452,412,102,966,16,982,0,982,368,"1,350",72.74
　　,華德里,"1,248",462,491,96,"1,049",20,"1,069",0,"1,069",357,"1,426",74.96
　　,華德里,"1,249",749,474,82,"1,305",13,"1,318",0,"1,318",385,"1,703",77.39
　　,華德里,"1,250",488,364,48,900,13,913,0,913,271,"1,184",77.11
　　,華東里,"1,251",712,476,112,"1,300",24,"1,324",0,"1,324",325,"1,649",80.29
　　,華東里,"1,252",945,568,117,"1,630",27,"1,657",0,"1,657",406,"2,063",80.32
　　,華東里,"1,253",595,489,228,"1,312",27,"1,339",0,"1,339",304,"1,643",81.50
　　,信義里,"1,254",480,383,68,931,18,949,0,949,340,"1,289",73.62
　　,信義里,"1,255",427,353,83,863,13,876,0,876,222,"1,098",79.78
　　,信義里,"1,256",377,420,64,861,15,876,0,876,280,"1,156",75.78
　　,浮洲里,"1,257",306,464,140,910,19,929,0,929,339,"1,268",73.26
　　,浮洲里,"1,258",292,378,96,766,15,781,0,781,324,"1,105",70.68
　　,浮洲里,"1,259",311,274,37,622,6,628,0,628,447,"1,075",58.42
　　,華中里,"1,260",405,503,81,989,21,"1,010",0,"1,010",319,"1,329",76.00
　　,華中里,"1,261",501,575,77,"1,153",15,"1,168",0,"1,168",394,"1,562",74.78
　　,華中里,"1,262",499,631,83,"1,213",9,"1,222",0,"1,222",384,"1,606",76.09
　　,僑中里,"1,263",310,374,144,828,12,840,0,840,271,"1,111",75.61
　　,僑中里,"1,264",293,354,117,764,14,778,0,778,266,"1,044",74.52
　　,僑中里,"1,265",378,432,122,932,11,943,0,943,252,"1,195",78.91
　　,大觀里,"1,266",468,504,123,"1,095",17,"1,112",0,"1,112",314,"1,426",77.98
　　,大觀里,"1,267",467,612,109,"1,188",19,"1,207",0,"1,207",370,"1,577",76.54
　　,歡園里,"1,268",372,349,114,835,10,845,0,845,238,"1,083",78.02
　　,中山里,"1,269",311,350,119,780,8,788,0,788,262,"1,050",75.05
　　,中山里,"1,270",305,322,76,703,13,716,0,716,292,"1,008",71.03
　　,中山里,"1,271",397,311,120,828,14,842,0,842,259,"1,101",76.48
　　,復興里,"1,272",244,37,33,314,9,323,0,323,322,645,50.08
　　,復興里,"1,273",197,244,68,509,7,516,0,516,155,671,76.90
　　,大安里,"1,274",374,386,114,874,7,881,0,881,297,"1,178",74.79
　　,大安里,"1,275",421,391,137,949,17,966,0,966,244,"1,210",79.83
　　,大安里,"1,276",388,378,130,896,19,915,0,915,255,"1,170",78.21
　　,福安里,"1,277",510,271,70,851,15,866,0,866,270,"1,136",76.23
　　,福安里,"1,278",322,433,115,870,18,888,0,888,246,"1,134",78.31
　　,聚安里,"1,279",281,308,69,658,12,670,0,670,221,891,75.20
　　,聚安里,"1,280",437,473,101,"1,011",17,"1,028",0,"1,028",313,"1,341",76.66
　　,聚安里,"1,281",336,352,68,756,11,767,0,767,232,999,76.78
　　,聚安里,"1,282",413,517,59,989,19,"1,008",0,"1,008",329,"1,337",75.39
　　,龍安里,"1,283",390,440,98,928,13,941,0,941,254,"1,195",78.74
　　,龍安里,"1,284",414,468,93,975,12,987,0,987,269,"1,256",78.58
　　,崑崙里,"1,285",495,509,157,"1,161",23,"1,184",0,"1,184",400,"1,584",74.75
　　,崑崙里,"1,286",518,573,125,"1,216",23,"1,239",0,"1,239",359,"1,598",77.53
　　,崑崙里,"1,287",477,419,95,991,15,"1,006",0,"1,006",401,"1,407",71.50
　　,崑崙里,"1,288",572,505,86,"1,163",14,"1,177",0,"1,177",402,"1,579",74.54
　　,崑崙里,"1,289",491,480,49,"1,020",20,"1,040",0,"1,040",361,"1,401",74.23
　　,成和里,"1,290",431,603,221,"1,255",27,"1,282",0,"1,282",416,"1,698",75.50
　　,成和里,"1,291",458,476,158,"1,092",27,"1,119",0,"1,119",377,"1,496",74.80
　　,成和里,"1,292",467,406,115,988,25,"1,013",0,"1,013",394,"1,407",72.00
　　,溪洲里,"1,293",450,460,107,"1,017",20,"1,037",0,"1,037",285,"1,322",78.44
　　,溪洲里,"1,294",662,661,97,"1,420",19,"1,439",0,"1,439",425,"1,864",77.20
　　,溪洲里,"1,295",508,507,100,"1,115",23,"1,138",1,"1,139",449,"1,588",71.66
　　,溪福里,"1,296",622,556,186,"1,364",30,"1,394",0,"1,394",471,"1,865",74.75
　　,溪福里,"1,297",451,547,137,"1,135",20,"1,155",1,"1,156",413,"1,569",73.61
　　,溪福里,"1,298",518,555,101,"1,174",18,"1,192",0,"1,192",422,"1,614",73.85
　　,溪福里,"1,299",612,538,103,"1,253",12,"1,265",0,"1,265",392,"1,657",76.34
　　,溪福里,"1,300",613,498,79,"1,190",17,"1,207",0,"1,207",370,"1,577",76.54
　　,溪福里,"1,301",704,559,92,"1,355",27,"1,382",0,"1,382",466,"1,848",74.78
　　,溪北里,"1,302",546,462,81,"1,089",17,"1,106",0,"1,106",320,"1,426",77.56
　　,溪北里,"1,303",564,452,79,"1,095",15,"1,110",0,"1,110",338,"1,448",76.66
　　,堂春里,"1,304",525,595,99,"1,219",18,"1,237",0,"1,237",385,"1,622",76.26
　　,堂春里,"1,305",626,653,116,"1,395",28,"1,423",0,"1,423",405,"1,828",77.84
