第8屆區域立法委員選舉臺北市第5選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳彥甫
健保免費連線","2
楊煌
無黨籍及未經政黨推薦","3
劉美娟
中華民國臺灣基本法連線","4
顏聖冠
民主進步黨","5
葉玫
台灣國民會議","6
周志文
人民民主陣線","7
林郁方
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
　　,新和里,840,6,2,0,280,5,2,744,"1,039",20,"1,059",0,"1,059",306,"1,365",77.58
　　,新和里,841,10,2,2,276,2,1,716,"1,009",17,"1,026",0,"1,026",231,"1,257",81.62
　　,新安里,842,10,9,6,430,6,5,620,"1,086",24,"1,110",0,"1,110",342,"1,452",76.45
　　,新安里,843,7,7,2,421,4,1,573,"1,015",25,"1,040",0,"1,040",339,"1,379",75.42
　　,新安里,844,14,5,6,263,9,4,533,834,28,862,0,862,279,"1,141",75.55
　　,新安里,845,8,3,0,238,8,2,804,"1,063",17,"1,080",0,"1,080",298,"1,378",78.37
　　,凌霄里,846,14,3,0,451,8,3,761,"1,240",25,"1,265",0,"1,265",405,"1,670",75.75
　　,凌霄里,847,9,4,2,302,7,4,842,"1,170",27,"1,197",0,"1,197",398,"1,595",75.05
　　,騰雲里,848,9,3,2,298,6,2,681,"1,001",11,"1,012",0,"1,012",252,"1,264",80.06
　　,騰雲里,849,13,3,5,348,7,1,677,"1,054",21,"1,075",0,"1,075",248,"1,323",81.25
　中正區,,,490,234,187,"24,204",405,159,"38,811","64,490","1,173","65,663",0,"65,663","20,836","86,499",75.91
　　,永功里,850,4,4,3,443,6,2,517,979,18,997,0,997,280,"1,277",78.07
　　,永功里,851,6,2,1,383,8,2,463,865,18,883,0,883,293,"1,176",75.09
　　,永功里,852,7,2,2,465,4,4,606,"1,090",18,"1,108",0,"1,108",284,"1,392",79.60
　　,永功里,853,5,3,6,388,7,1,578,988,13,"1,001",0,"1,001",300,"1,301",76.94
　　,永昌里,854,6,6,2,452,7,2,598,"1,073",21,"1,094",0,"1,094",300,"1,394",78.48
　　,永昌里,855,11,0,6,434,7,1,617,"1,076",26,"1,102",0,"1,102",342,"1,444",76.32
　　,永昌里,856,7,3,4,443,7,4,660,"1,128",20,"1,148",0,"1,148",329,"1,477",77.73
　　,龍興里,857,7,6,6,486,4,1,690,"1,200",22,"1,222",0,"1,222",365,"1,587",77.00
　　,龍興里,858,10,6,2,430,8,0,703,"1,159",21,"1,180",0,"1,180",336,"1,516",77.84
　　,忠勤里,859,14,5,8,374,7,3,673,"1,084",29,"1,113",0,"1,113",398,"1,511",73.66
