第8屆區域立法委員選舉臺北市第6選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
葉邦宗
無黨籍及未經政黨推薦","2
周佩民
台灣主義黨","3
陳振盛
親民黨","4
趙衍慶
無黨籍及未經政黨推薦","5
王雲怡
台灣國民會議","6
陳福民
無黨籍及未經政黨推薦","7
趙士強
民主進步黨","8
蔣乃辛
中國國民黨","9
王秀珠
人民最大黨",,,,,,,,
,,,,,,,,,,,,,,,,,,,
　　,龍雲里,990,1,3,52,0,12,9,337,612,4,"1,030",15,"1,045",0,"1,045",327,"1,372",76.17
　　,龍生里,991,3,3,80,3,19,11,401,789,5,"1,314",22,"1,336",0,"1,336",346,"1,682",79.43
　　,龍生里,992,2,4,115,1,15,19,333,850,4,"1,343",7,"1,350",0,"1,350",392,"1,742",77.50
　　,龍生里,993,2,1,139,1,13,12,343,837,3,"1,351",19,"1,370",0,"1,370",406,"1,776",77.14
　　,住安里,994,3,4,78,1,18,10,344,550,8,"1,016",17,"1,033",0,"1,033",340,"1,373",75.24
　　,住安里,995,4,4,51,1,14,10,332,632,6,"1,054",24,"1,078",0,"1,078",406,"1,484",72.64
　　,住安里,996,5,3,77,3,20,19,300,731,3,"1,161",15,"1,176",0,"1,176",376,"1,552",75.77
　　,義安里,997,2,2,80,1,14,15,306,679,2,"1,101",19,"1,120",0,"1,120",366,"1,486",75.37
　　,義安里,998,4,3,53,0,8,18,308,749,5,"1,148",10,"1,158",0,"1,158",383,"1,541",75.15
　　,義安里,999,1,4,66,2,11,23,304,674,3,"1,088",10,"1,098",0,"1,098",366,"1,464",75.00
　　,通化里,"1,000",2,4,67,1,13,11,479,693,9,"1,279",20,"1,299",0,"1,299",383,"1,682",77.23
　　,通化里,"1,001",4,9,100,2,18,13,527,686,4,"1,363",18,"1,381",0,"1,381",414,"1,795",76.94
　　,通化里,"1,002",1,4,83,0,16,10,404,711,5,"1,234",12,"1,246",0,"1,246",413,"1,659",75.11
　　,通安里,"1,003",0,4,71,0,17,13,418,689,3,"1,215",24,"1,239",0,"1,239",420,"1,659",74.68
　　,通安里,"1,004",1,5,73,2,14,6,372,759,10,"1,242",11,"1,253",0,"1,253",381,"1,634",76.68
　　,通安里,"1,005",0,3,86,0,15,11,364,592,5,"1,076",10,"1,086",0,"1,086",308,"1,394",77.91
　　,臨江里,"1,006",3,4,71,0,16,8,441,851,9,"1,403",24,"1,427",0,"1,427",414,"1,841",77.51
